-1.000000000000000000e+00 1.000000000000000000e+02 9.737765005707238415e-12 9.939402064862961191e-12 9.409510934477605327e-12 9.535284822428096452e-12 1.293929411903878625e-12 1.321803775723416742e-12
-1.000000000000000000e+00 1.026741977250277529e+02 9.184981691709672055e-12 9.372868348476994574e-12 8.881327957134082312e-12 9.016341243646780583e-12 1.221278316732033585e-12 1.248028163504688032e-12
-1.000000000000000000e+00 1.054199087847809437e+02 8.662228820974430699e-12 8.837213938324587510e-12 8.381922693018065149e-12 8.520056433971918694e-12 1.152482857327257936e-12 1.178146994178188817e-12
-1.000000000000000000e+00 1.082390455872298816e+02 8.168040836525264259e-12 8.330766062323355946e-12 7.909254707894525671e-12 8.044436407149710525e-12 1.087343520330736598e-12 1.111976987912368065e-12
-1.000000000000000000e+00 1.111335716819153276e+02 7.701002700038898841e-12 7.851953537360470931e-12 7.461520294101579897e-12 7.587901961573455863e-12 1.025672228943533975e-12 1.049341057649078923e-12
-1.000000000000000000e+00 1.141055031275751901e+02 7.259752794271427351e-12 7.399317028291900067e-12 7.037144324015809475e-12 7.149336401076642463e-12 9.672931176773103177e-13 9.900676536541189220e-13
-1.000000000000000000e+00 1.171569098963442741e+02 6.843002250381770822e-12 6.971698799437797876e-12 6.635028323015304615e-12 6.729374657147820235e-12 9.120596706172268094e-13 9.339828346816105137e-13
-1.000000000000000000e+00 1.202899173155051216e+02 6.449521355502189895e-12 6.568091145855536338e-12 6.254321168729051913e-12 6.329349448825447122e-12 8.598408001468968127e-13 8.809161301538690984e-13
-1.000000000000000000e+00 1.235067075477941216e+02 6.078123261040053906e-12 6.187461037865715779e-12 5.894158974293923206e-12 5.950078372613211841e-12 8.105047749362973585e-13 8.307073553231969231e-13
-1.000000000000000000e+00 1.268095211112939182e+02 5.727665020063286266e-12 5.828761242276722673e-12 5.553669766065932371e-12 5.591937867689511926e-12 7.639201394174767746e-13 7.832058789743316202e-13
-1.000000000000000000e+00 1.302006584399707094e+02 5.397048420119140228e-12 5.490942557107390161e-12 5.231981709488870988e-12 5.254948041747927892e-12 7.199567454758056509e-13 7.382698417701280115e-13
-1.000000000000000000e+00 1.336824814859436970e+02 5.085220348852388495e-12 5.172963831270885293e-12 4.928229916826542995e-12 4.938844894392358438e-12 6.784865916208335919e-13 6.957654617366909976e-13
