-1.000000000000000000e+00 1.000000000000000000e+02 1.196686631879204230e-09 9.387682949797287087e-10 2.197304600790411017e-08 1.431609686542012318e-08 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.026741977250277529e+02 1.096352307441758869e-09 8.592993701260642960e-10 2.026264509454784601e-08 1.316876103037589544e-08 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.054199087847809437e+02 1.004429882184525782e-09 7.865573937727498632e-10 1.868536818315816578e-08 1.211336847945323958e-08 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.082390455872298816e+02 9.202141539214518869e-10 7.199729613574225127e-10 1.723085515970123036e-08 1.114255182282938286e-08 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.111335716819153276e+02 8.430590368586769301e-10 6.590248637727373799e-10 1.588955207030493715e-08 1.024953396977023070e-08 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.141055031275751901e+02 7.726310909549671387e-10 6.032982271080836752e-10 1.465266979679693784e-08 9.425379509737171699e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.171569098963442741e+02 7.082210251685749387e-10 5.523159355207697507e-10 1.351207110421856156e-08 8.666074510520510089e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.202899173155051216e+02 6.491802006843020027e-10 5.056417148972372970e-10 1.246025070399909822e-08 7.967931270108869252e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.235067075477941216e+02 5.950610594303799356e-10 4.629115472153370874e-10 1.149029923851900864e-08 7.326023825559907264e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.268095211112939182e+02 5.454533479727125084e-10 4.237921711577703140e-10 1.059584503111363404e-08 6.735822903627231348e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.302006584399707094e+02 4.999810082846632755e-10 3.879784835449551929e-10 9.771012248466084589e-09 6.193163978885507395e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.336824814859436970e+02 4.582993276477394330e-10 3.551911603038331463e-10 9.010382318092410724e-09 5.694217903557650421e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.372574153646014565e+02 4.200923260877814458e-10 3.251744784264100936e-10 8.308958347690378667e-09 5.235463902014472687e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.409279500437135084e+02 3.850703615508278833e-10 2.976943219384814231e-10 7.662132312820169771e-09 4.813664739581494714e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.446966420777107487e+02 3.530608680152316298e-10 2.725239339918904916e-10 7.064759128076639190e-09 4.423885575899821906e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.485661163883444260e+02 3.237202497238258194e-10 2.494805004530848769e-10 6.513876314578554449e-09 4.065490339847454302e-09 0.000000000000000000e+00 0.000000000000000000e+00
-1.000000000000000000e+00 1.525390680929636176e+02 2.968178237889675106e-10 2.283853900951890632e-10 6.005945318123907804e-09 3.736125070442617068e-09 0.000000000000000000e+00 0.000000000000000000e+00
